"Title","Author","Tags"
"THEO OF GOLDEN","Allen Levi","NYT Bestseller|NYT Combined Print & E-Book Fiction|Fiction"
"THE CALAMITY CLUB","Kathryn Stockett","NYT Bestseller|NYT Combined Print & E-Book Fiction|Fiction"
"YESTERYEAR","Caro Claire Burke","NYT Bestseller|NYT Combined Print & E-Book Fiction|Fiction"
"DUNGEON CRAWLER CARL","Matt Dinniman","NYT Bestseller|NYT Combined Print & E-Book Fiction|Fiction"
"THE SECRETS WE HIDE","Karin Slaughter","NYT Bestseller|NYT Combined Print & E-Book Fiction|Fiction"
"WHISTLER","Ann Patchett","NYT Bestseller|NYT Combined Print & E-Book Fiction|Fiction"
"PROJECT HAIL MARY","Andy Weir","NYT Bestseller|NYT Combined Print & E-Book Fiction|Fiction"
"CARL'S DOOMSDAY SCENARIO","Matt Dinniman","NYT Bestseller|NYT Combined Print & E-Book Fiction|Fiction"
"THE BUTCHER LEGACY","Alaina Urquhart","NYT Bestseller|NYT Combined Print & E-Book Fiction|Fiction"
"VERITY","Colleen Hoover","NYT Bestseller|NYT Combined Print & E-Book Fiction|Fiction"
"ALL ABOUT LOVE","bell hooks","NYT Bestseller|NYT Combined Print & E-Book Nonfiction|Nonfiction"
"THE GLASS CASTLE","Jeannette Walls","NYT Bestseller|NYT Combined Print & E-Book Nonfiction|Nonfiction"
"THE ANXIOUS GENERATION","Jonathan Haidt","NYT Bestseller|NYT Combined Print & E-Book Nonfiction|Nonfiction"
"REVOLUTION","Eric Metaxas","NYT Bestseller|NYT Combined Print & E-Book Nonfiction|Nonfiction"
"THE CALAMITY CLUB","Kathryn Stockett","NYT Bestseller|NYT Hardcover Fiction|Fiction"
"YESTERYEAR","Caro Claire Burke","NYT Bestseller|NYT Hardcover Fiction|Fiction"
"THE BUTCHER LEGACY","Alaina Urquhart","NYT Bestseller|NYT Hardcover Fiction|Fiction"
"WHISTLER","Ann Patchett","NYT Bestseller|NYT Hardcover Fiction|Fiction"
"THE SECRETS WE HIDE","Karin Slaughter","NYT Bestseller|NYT Hardcover Fiction|Fiction"
"THE TRUE MEANING OF LOVE","Danielle Steel","NYT Bestseller|NYT Hardcover Fiction|Fiction"
"DEATH ROW","Freida McFadden","NYT Bestseller|NYT Paperback Trade Fiction|Fiction"
"CALL OF DUTY BLACK OPS ZOMBIES: THE ART OF TREYARCH","Treyarch and James Asmus","NYT Bestseller|NYT Advice, How-To & Miscellaneous"
"UNREASONABLE HOSPITALITY","Will Guidara","NYT Bestseller|NYT Advice, How-To & Miscellaneous"
"DUNGEON CRAWLER CARL, VOL. 1","Tevagah","NYT Bestseller|NYT Graphic Books and Manga"
"DAWN ON THE COAST","Ann M. Martin","NYT Bestseller|NYT Graphic Books and Manga"
"FIRST CRUSH","Cassandra Calin","NYT Bestseller|NYT Graphic Books and Manga"
"WARRIORS: THE PROPHECIES BEGIN","Erin Hunter","NYT Bestseller|NYT Graphic Books and Manga"
"JUJUTSU KAISEN, VOL. 1","Gege Akutami","NYT Bestseller|NYT Graphic Books and Manga"
"THE ADVENTURE ZONE: STORY AND SONG","Clint McElroy et al","NYT Bestseller|NYT Graphic Books and Manga"
"JUJUTSU KAISEN, VOL. 30","Gege Akutami","NYT Bestseller|NYT Graphic Books and Manga"
"BIG JIM BELIEVES","Dav Pilkey","NYT Bestseller|NYT Graphic Books and Manga"
"INVESTIGATORS: WEATHER OR NOT","John Patrick Green","NYT Bestseller|NYT Graphic Books and Manga"
"I SURVIVED THE BOMBING OF PEARL HARBOR, 1941","Lauren Tarshis","NYT Bestseller|NYT Graphic Books and Manga"
"THE BOOK THIEF","Markus Zusak","NYT Bestseller|NYT Young Adult Paperback"
"GIRL IN PIECES","Kathleen Glasgow","NYT Bestseller|NYT Young Adult Paperback"
"NOTHING LIKE THE MOVIES","Lynn Painter","NYT Bestseller|NYT Young Adult Paperback"
